Date and time,Energy per inverter | Primo 7.6-1 208-240 (1),Energy per inverter | Primo 7.6-1 208-240 (2),Energy per inverter | Primo 7.6-1 208-240 (3),Energy per inverter per kWp | Primo 7.6-1 208-240 (1),Energy per inverter per kWp | Primo 7.6-1 208-240 (2),Energy per inverter per kWp | Primo 7.6-1 208-240 (3),Total system,
[dd.MM.yyyy],[kWh],[kWh],[kWh],[kWh/kWp],[kWh/kWp],[kWh/kWp],[kWh],
20.08.2025,  44.39249,  41.39772,  37.0347 ,   3.97782,   4.0467 ,   3.98223, 122.82491,
21.08.2025,  42.50207,  39.09753,  35.77678,   3.80843,   3.82185,   3.84697, 117.37637,
22.08.2025,  50.78082,  46.68729,  42.92988,   4.55025,   4.56376,   4.61612, 140.39799,
23.08.2025,  56.00988,  51.02283,  45.75087,   5.01881,   4.98757,   4.91945, 152.78358,
24.08.2025,  56.03522,  50.94575,  46.17663,   5.02108,   4.98003,   4.96523, 153.1576 ,
25.08.2025,  52.9695 ,  47.4838 ,  43.77024,   4.74637,   4.64162,   4.70648, 144.22354,
26.08.2025,  49.55218,  44.24896,  39.82821,   4.44016,   4.32541,   4.2826 , 133.62935,
27.08.2025,  51.34706,  46.5629 ,  42.64817,   4.60099,   4.5516 ,   4.58582, 140.55812,
28.08.2025,  50.30804,  45.74005,  42.3101 ,   4.50789,   4.47117,   4.54947, 138.35819,
29.08.2025,  48.12444,  43.03053,  39.43605,   4.31223,   4.20631,   4.24044, 130.59102,
30.08.2025,  46.90045,  42.41012,  38.35196,   4.20255,   4.14566,   4.12387, 127.66253,
31.08.2025,  47.54207,  42.87842,  39.99319,   4.26004,   4.19144,   4.30034, 130.41368,
01.09.2025,  30.93029,  28.67032,  25.06289,   2.77153,   2.80257,   2.69493,  84.6635 ,
02.09.2025,  42.18013,  38.39769,  34.19581,   3.77958,   3.75344,   3.67697, 114.77362,
03.09.2025,  33.55056,  30.21936,  26.61639,   3.00632,   2.95399,   2.86198,  90.3863 ,
04.09.2025,  49.82169,  45.58032,  41.98384,   4.46431,   4.45555,   4.51439, 137.38585,
05.09.2025,  49.01516,  43.51429,  40.66431,   4.39204,   4.2536 ,   4.37251, 133.19376,
06.09.2025,  44.43638,  40.68791,  36.09315,   3.98175,   3.97731,   3.88098, 121.21744,
07.09.2025,  25.26526,  23.42959,  20.23024,   2.26391,   2.29028,   2.1753 ,  68.9251 ,
08.09.2025,  38.57784,  35.07127,  31.73719,   3.4568 ,   3.42828,   3.4126 , 105.3863 ,
09.09.2025,   7.74803,   7.03829,   6.42071,   0.69427,   0.688  ,   0.6904 ,  21.20703,
10.09.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
11.09.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
12.09.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
13.09.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
14.09.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
15.09.2025,  18.31477,  19.5192 ,  17.17569,   1.64111,   1.90803,   1.84685,  55.00966,
16.09.2025,  41.08338,  38.06413,  34.64675,   3.68131,   3.72083,   3.72546, 113.79426,
17.09.2025,  38.60695,  36.62618,  33.44044,   3.4594 ,   3.58027,   3.59575, 108.67357,
18.09.2025,  36.60321,  33.79694,  30.87032,   3.27986,   3.30371,   3.31939, 101.27047,
19.09.2025,  34.01753,  31.52387,  28.64438,   3.04817,   3.08151,   3.08004,  94.18578,
20.09.2025,  34.72948,  31.12548,  29.00942,   3.11196,   3.04257,   3.11929,  94.86438,
21.09.2025,  24.86597,  23.40466,  21.20944,   2.22813,   2.28785,   2.28059,  69.48007,
22.09.2025,  38.47845,  34.33632,  32.0074 ,   3.44789,   3.35643,   3.44166, 104.82217,
23.09.2025,  35.89186,  32.65038,  29.56751,   3.21612,   3.19163,   3.1793 ,  98.10975,
24.09.2025,  17.00216,  15.09835,  13.24681,   1.52349,   1.47589,   1.42439,  45.34731,
25.09.2025,  32.60329,  30.1609 ,  27.49674,   2.92144,   2.94828,   2.95664,  90.26094,
26.09.2025,  34.91708,  31.42859,  29.84968,   3.12877,   3.0722 ,   3.20964,  96.19535,
27.09.2025,  21.26144,  19.38593,  17.6416 ,   1.90515,   1.89501,   1.89695,  58.28897,
28.09.2025,  22.84883,  20.56593,  18.13382,   2.04739,   2.01035,   1.94987,  61.54857,
29.09.2025,  18.32744,  16.96195,  14.78483,   1.64224,   1.65806,   1.58977,  50.07423,
30.09.2025,  10.9882 ,  10.24863,   8.67242,   0.98461,   1.00182,   0.93252,  29.90926,
01.10.2025,  17.96387,  15.90024,  13.84859,   1.60967,   1.55428,   1.4891 ,  47.71269,
02.10.2025,  30.97924,  28.20351,  26.01269,   2.77592,   2.75694,   2.79706,  85.19544,
03.10.2025,  25.79056,  24.45282,  23.92358,   2.31098,   2.39031,   2.57243,  74.16696,
04.10.2025,  19.05627,  17.71889,  15.8298 ,   1.70755,   1.73205,   1.70213,  52.60496,
05.10.2025,  31.05359,  28.94616,  27.7555 ,   2.78258,   2.82954,   2.98446,  87.75524,
06.10.2025,  19.05401,  17.69441,  15.47276,   1.70735,   1.72966,   1.66374,  52.22118,
07.10.2025,  20.56653,  19.00597,  17.18315,   1.84288,   1.85787,   1.84765,  56.75565,
08.10.2025,  22.96198,  20.74321,  18.92424,   2.05752,   2.02768,   2.03486,  62.62942,
09.10.2025,  29.93844,  27.64959,  26.42236,   2.68266,   2.70279,   2.84111,  84.01039,
10.10.2025,  27.12437,  24.99406,  23.82348,   2.4305 ,   2.44321,   2.56166,  75.94191,
11.10.2025,   9.11303,   8.51051,   7.21899,   0.81658,   0.83192,   0.77624,  24.84253,
12.10.2025,  12.48736,  11.45274,   9.63138,   1.11894,   1.11953,   1.03563,  33.57148,
13.10.2025,  28.24536,  24.67895,  23.54608,   2.53095,   2.41241,   2.53184,  76.47039,
14.10.2025,  30.48172,  27.56125,  26.65182,   2.73134,   2.69416,   2.86579,  84.69478,
15.10.2025,  28.63859,  25.67875,  24.58616,   2.56618,   2.51014,   2.64367,  78.9035 ,
16.10.2025,  26.56795,  24.06864,  23.43396,   2.38064,   2.35275,   2.51978,  74.07054,
17.10.2025,  26.09819,  23.27163,  22.95838,   2.33855,   2.27484,   2.46864,  72.32819,
18.10.2025,  26.90744,  24.34695,  23.72973,   2.41106,   2.37996,   2.55158,  74.98411,
19.10.2025,  12.51485,  10.84763,   9.81291,   1.1214 ,   1.06037,   1.05515,  33.17539,
20.10.2025,  20.09191,  17.97435,  16.42436,   1.80035,   1.75702,   1.76606,  54.49062,
21.10.2025,  23.53112,  20.45022,  19.3059 ,   2.10852,   1.99904,   2.0759 ,  63.28724,
22.10.2025,  23.54562,  20.63196,  20.97431,   2.10982,   2.01681,   2.2553 ,  65.15189,
23.10.2025,  21.00965,  19.07931,  19.15356,   1.88258,   1.86504,   2.05952,  59.24252,
24.10.2025,  11.86016,  10.63685,   9.28487,   1.06274,   1.03977,   0.99837,  31.78188,
25.10.2025,  22.15588,  20.00682,  18.83716,   1.98529,   1.9557 ,   2.0255 ,  60.99986,
26.10.2025,   7.24776,   6.25395,   5.30542,   0.64944,   0.61133,   0.57048,  18.80713,
27.10.2025,   6.56137,   6.13194,   5.00711,   0.58794,   0.59941,   0.5384 ,  17.70041,
28.10.2025,  22.55485,  20.4972 ,  20.64015,   2.02104,   2.00364,   2.21937,  63.6922 ,
29.10.2025,  16.99288,  15.26198,  14.30792,   1.52266,   1.49188,   1.53849,  46.56279,
30.10.2025,  14.10348,  13.10382,  11.66995,   1.26375,   1.28092,   1.25483,  38.87725,
31.10.2025,  11.27924,  10.71968,   9.56568,   1.01068,   1.04787,   1.02857,  31.5646 ,
01.11.2025,   7.78614,   7.47147,   6.65133,   0.69768,   0.73035,   0.7152 ,  21.90894,
02.11.2025,  19.08533,  17.97849,  17.6501 ,   1.71016,   1.75743,   1.89786,  54.71393,
03.11.2025,  14.04412,  13.42301,  12.93317,   1.25843,   1.31212,   1.39066,  40.4003 ,
04.11.2025,  17.57108,  16.795  ,  16.69161,   1.57447,   1.64174,   1.7948 ,  51.05769,
05.11.2025,   9.32996,   9.162  ,   8.54109,   0.83602,   0.8956 ,   0.9184 ,  27.03305,
06.11.2025,   5.02786,   4.69033,   3.77194,   0.45052,   0.45849,   0.40558,  13.49013,
07.11.2025,   0.17403,   0.13791,   0.1058 ,   0.01559,   0.01348,   0.01138,   0.41774,
08.11.2025,   5.43299,   5.16096,   4.9274 ,   0.48683,   0.50449,   0.52983,  15.52135,
09.11.2025,   9.19204,   8.59282,   7.60903,   0.82366,   0.83996,   0.81818,  25.3939 ,
10.11.2025,   9.11239,   9.05793,   8.86132,   0.81652,   0.88543,   0.95283,  27.03163,
11.11.2025,  12.24797,  11.71711,  11.98647,   1.09749,   1.14537,   1.28887,  35.95155,
12.11.2025,  12.1862 ,  11.72216,  12.08953,   1.09195,   1.14586,   1.29995,  35.9979 ,
13.11.2025,   8.43795,   7.94166,   7.1449 ,   0.75609,   0.77631,   0.76827,  23.52451,
14.11.2025,  10.92014,   9.98724,  11.10035,   0.97851,   0.97627,   1.19359,  32.00773,
15.11.2025,  10.41535,  10.0082 ,  10.47202,   0.93328,   0.97832,   1.12602,  30.89557,
16.11.2025,   9.71961,   8.88436,   9.07718,   0.87093,   0.86846,   0.97604,  27.68115,
17.11.2025,   6.92537,   6.53351,   5.81105,   0.62055,   0.63866,   0.62484,  19.26993,
18.11.2025,   3.74346,   3.52401,   3.01758,   0.33544,   0.34448,   0.32447,  10.28506,
19.11.2025,   7.71236,   7.14774,   7.83681,   0.69107,   0.6987 ,   0.84267,  22.69691,
20.11.2025,   8.16027,   8.12262,   8.21295,   0.73121,   0.794  ,   0.88311,  24.49584,
21.11.2025,   6.08518,   5.88602,   5.35913,   0.54527,   0.57537,   0.57625,  17.33032,
22.11.2025,   6.24706,   6.25262,   6.17323,   0.55977,   0.6112 ,   0.66379,  18.67292,
23.11.2025,   6.89272,   6.00615,   6.06478,   0.61763,   0.58711,   0.65213,  18.96364,
24.11.2025,   5.45661,   6.36075,   6.64121,   0.48894,   0.62177,   0.71411,  18.45858,
25.11.2025,   6.06432,   6.39087,   6.53223,   0.5434 ,   0.62472,   0.70239,  18.98742,
26.11.2025,   6.49497,   6.74664,   6.56244,   0.58199,   0.6595 ,   0.70564,  19.80405,
27.11.2025,   3.35218,   3.10941,   2.65032,   0.30037,   0.30395,   0.28498,   9.11191,
28.11.2025,   0.11079,   0.0971 ,   0.0831 ,   0.00993,   0.00949,   0.00894,   0.29099,
29.11.2025,   0.14525,   0.12982,   0.1377 ,   0.01302,   0.01269,   0.01481,   0.41276,
30.11.2025,   0.15263,   0.13822,   0.14637,   0.01368,   0.01351,   0.01574,   0.43721,
01.12.2025,   0.0366 ,   0.02745,   0.02082,   0.00328,   0.00268,   0.00224,   0.08486,
02.12.2025,   1.63743,   1.45269,   1.11381,   0.14672,   0.142  ,   0.11976,   4.20394,
03.12.2025,   0.34027,   0.28673,   0.2055 ,   0.03049,   0.02803,   0.0221 ,   0.83251,
04.12.2025,   0.862  ,   0.75248,   0.57966,   0.07724,   0.07356,   0.06233,   2.19414,
05.12.2025,   0.18126,   0.15232,   0.10335,   0.01624,   0.01489,   0.01111,   0.43693,
06.12.2025,   0.08846,   0.09058,   0.08697,   0.00793,   0.00885,   0.00935,   0.26601,
07.12.2025,   0.03587,   0.02888,   0.02558,   0.00321,   0.00282,   0.00275,   0.09034,
08.12.2025,   0.0104 ,   0.00414,   0.00286,   0.00093,   0.0004 ,   0.00031,   0.0174 ,
09.12.2025,   0.00523,   0.00209,   0.00044,   0.00047,   0.0002 ,   0.00005,   0.00777,
10.12.2025,   0.04109,   0.03143,   0.02545,   0.00368,   0.00307,   0.00274,   0.09797,
11.12.2025,   0.00064,   0.00008,   0.00   ,   0.00006,   0.00001,   0.00   ,   0.00071,
12.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
13.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
14.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
15.12.2025,   0.00456,   0.00766,   0.00286,   0.00041,   0.00075,   0.00031,   0.01509,
16.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
17.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
18.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
19.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
20.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
21.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
22.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
23.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
24.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
25.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
26.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
27.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
28.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
29.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
30.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
31.12.2025,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
01.01.2026,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,   0.00   ,
,,,,,,,,
